id,message,category
136,Attention: the office will remain closed tomorrow from next week onward. Ref 136.,Important Notices
137,Prepare the presentation for the client meeting. Ref 137.,Work
138,RSVP for the annual company meetup. Ref 138.,Events
139,RSVP for the annual company meetup. Ref 139.,Events
140,Announcement: server downtime may occur during the upgrade window for security reasons. Ref 140.,Important Notices
141,Kindly be informed that the office will remain closed tomorrow until further notice. Ref 141.,Important Notices
142,"For your information, mandatory compliance training must be completed until the upgrade is completed. Ref 142.",Important Notices
143,Announcement: network services may be temporarily unavailable until the upgrade is completed. Ref 143.,Important Notices
144,Complete the sprint tasks before tomorrow's standup. Ref 144.,Work
145,Complete the sprint tasks before tomorrow's standup. Ref 145.,Work
146,Update: the system will undergo scheduled maintenance tonight for security reasons. Ref 146.,Important Notices
147,Register to attend the upcoming conference. Ref 147.,Events
148,Register to attend the upcoming conference. Ref 148.,Events
149,Update the task status in the project tracker. Ref 149.,Work
150,Let's plan dinner this weekend. Ref 150.,Personal
151,Coordinate with the design team about the UI updates. Ref 151.,Work
152,Register for the upcoming workshop using the registration link. Ref 152.,Events
153,We should watch that movie together. Ref 153.,Personal
154,Let's catch up over coffee soon. Ref 154.,Personal
155,Reserve your seat for the networking event. Ref 155.,Events
156,Let me know when you're free to talk. Ref 156.,Personal
157,Reminder: server downtime may occur during the upgrade window from next week onward. Ref 157.,Important Notices
158,Prepare the presentation for the client meeting. Ref 158.,Work
159,Attention: a new security policy has been implemented starting tonight. Ref 159.,Important Notices
160,Coordinate with the design team about the UI updates. Ref 160.,Work
161,Finalize the sprint backlog for the upcoming release. Ref 161.,Work
162,Let's plan dinner this weekend. Ref 162.,Personal
163,Please fill the Google form for event registration. Ref 163.,Events
164,Please note that network services may be temporarily unavailable until systems are fully restored. Ref 164.,Important Notices
165,Heads up: email services may experience temporary delays until further notice. Ref 165.,Important Notices
166,Investigate the production issue reported this morning. Ref 166.,Work
167,Let's plan dinner this weekend. Ref 167.,Personal
168,We should watch that movie together. Ref 168.,Personal
169,Prepare the presentation for the client meeting. Ref 169.,Work
170,We should watch that movie together. Ref 170.,Personal
171,Register to attend the upcoming conference. Ref 171.,Events
172,We should watch that movie together. Ref 172.,Personal
173,"For your information, all employees must update their passwords from next week onward. Ref 173.",Important Notices
174,Register for the upcoming workshop using the registration link. Ref 174.,Events
175,Register for the upcoming workshop using the registration link. Ref 175.,Events
176,Please review the project report before the deadline. Ref 176.,Work
177,Let me know when you're free to talk. Ref 177.,Personal
178,Announcement: system access rules have changed effective immediately. Ref 178.,Important Notices
179,Update: a security patch has been deployed for security reasons. Ref 179.,Important Notices
180,Join the webinar scheduled for tomorrow afternoon. Ref 180.,Events
181,Text me when you arrive. Ref 181.,Personal
182,Send me the photos from yesterday. Ref 182.,Personal
183,Reminder: the system will undergo scheduled maintenance tonight until further notice. Ref 183.,Important Notices
184,Update the task status in the project tracker. Ref 184.,Work
185,Reserve your seat for the networking event. Ref 185.,Events
186,"Hey, call me when you get home. Ref 186.",Personal
187,Review the pull request and leave comments. Ref 187.,Work
188,Submit the event participation form before the deadline. Ref 188.,Events
189,We should watch that movie together. Ref 189.,Personal
190,Update the documentation for the new API endpoints. Ref 190.,Work
191,Send me the photos from yesterday. Ref 191.,Personal
192,Confirm your attendance for the seminar. Ref 192.,Events
193,Coordinate with the design team about the UI updates. Ref 193.,Work
194,Complete the registration form for the training session. Ref 194.,Events
195,Join the webinar scheduled for tomorrow afternoon. Ref 195.,Events
196,Coordinate with the design team about the UI updates. Ref 196.,Work
197,Text me when you arrive. Ref 197.,Personal
198,"Hey, call me when you get home. Ref 198.",Personal
199,Reserve your seat for the networking event. Ref 199.,Events
200,Update the documentation for the new API endpoints. Ref 200.,Work
201,Register to attend the upcoming conference. Ref 201.,Events
202,Don't forget to bring groceries. Ref 202.,Personal
203,Update the task status in the project tracker. Ref 203.,Work
204,Please fill the Google form for event registration. Ref 204.,Events
205,Let's catch up over coffee soon. Ref 205.,Personal
206,Review the pull request and leave comments. Ref 206.,Work
207,Coordinate with the design team about the UI updates. Ref 207.,Work
208,Join the webinar scheduled for tomorrow afternoon. Ref 208.,Events
209,Finalize the sprint backlog for the upcoming release. Ref 209.,Work
210,Hope you had a good day today. Ref 210.,Personal
211,Reminder: system access rules have changed until further notice. Ref 211.,Important Notices
212,Submit the event participation form before the deadline. Ref 212.,Events
213,"Hey, call me when you get home. Ref 213.",Personal
214,"For your information, all employees must update their passwords until systems are fully restored. Ref 214.",Important Notices
215,Finalize the sprint backlog for the upcoming release. Ref 215.,Work
216,Let's plan dinner this weekend. Ref 216.,Personal
217,Please review the project report before the deadline. Ref 217.,Work
218,Text me when you arrive. Ref 218.,Personal
219,Review the pull request and leave comments. Ref 219.,Work
220,"For your information, the system will undergo scheduled maintenance tonight starting tonight. Ref 220.",Important Notices
221,Tell me how your day went. Ref 221.,Personal
222,Register for the upcoming workshop using the registration link. Ref 222.,Events
223,Attention: a security patch has been deployed until systems are fully restored. Ref 223.,Important Notices
224,Investigate the production issue reported this morning. Ref 224.,Work
225,Update the documentation for the new API endpoints. Ref 225.,Work
226,Please fill the Google form for event registration. Ref 226.,Events
227,Join the webinar scheduled for tomorrow afternoon. Ref 227.,Events
228,Don't forget to bring groceries. Ref 228.,Personal
229,Update: mandatory compliance training must be completed effective immediately. Ref 229.,Important Notices
230,Heads up: the system will undergo scheduled maintenance tonight as per the latest policy update. Ref 230.,Important Notices
231,Let's plan dinner this weekend. Ref 231.,Personal
232,Text me when you arrive. Ref 232.,Personal
233,Sign up for the hackathon event. Ref 233.,Events
234,"Hey, call me when you get home. Ref 234.",Personal
235,Please note that system access rules have changed from next week onward. Ref 235.,Important Notices
236,Check the server logs and report any anomalies. Ref 236.,Work
237,Heads up: a security patch has been deployed from next week onward. Ref 237.,Important Notices
238,Update: system access rules have changed effective immediately. Ref 238.,Important Notices
239,We should watch that movie together. Ref 239.,Personal
240,Update the documentation for the new API endpoints. Ref 240.,Work
241,Coordinate with the design team about the UI updates. Ref 241.,Work
242,Attention: a security patch has been deployed during the scheduled update. Ref 242.,Important Notices
243,Reserve your seat for the networking event. Ref 243.,Events
244,Don't forget to bring groceries. Ref 244.,Personal
245,Finalize the sprint backlog for the upcoming release. Ref 245.,Work
246,Prepare the presentation for the client meeting. Ref 246.,Work
247,Complete the registration form for the training session. Ref 247.,Events
248,Hope you had a good day today. Ref 248.,Personal
249,Please fill the Google form for event registration. Ref 249.,Events
250,Join the webinar scheduled for tomorrow afternoon. Ref 250.,Events
251,Update: mandatory compliance training must be completed starting tonight. Ref 251.,Important Notices
252,"Hey, call me when you get home. Ref 252.",Personal
253,Update: mandatory compliance training must be completed from next week onward. Ref 253.,Important Notices
254,Let's catch up over coffee soon. Ref 254.,Personal
255,Reserve your seat for the networking event. Ref 255.,Events
256,Please fill the Google form for event registration. Ref 256.,Events
257,Register for the upcoming workshop using the registration link. Ref 257.,Events
258,Complete the registration form for the training session. Ref 258.,Events
259,Attention: the office will remain closed tomorrow starting tonight. Ref 259.,Important Notices
260,Sign up for the hackathon event. Ref 260.,Events
261,Please fill the Google form for event registration. Ref 261.,Events
262,Notice: email services may experience temporary delays effective immediately. Ref 262.,Important Notices
263,Reserve your seat for the networking event. Ref 263.,Events
264,Register for the upcoming workshop using the registration link. Ref 264.,Events
265,Please fill the Google form for event registration. Ref 265.,Events
266,Coordinate with the design team about the UI updates. Ref 266.,Work
267,Don't forget to bring groceries. Ref 267.,Personal
268,Reserve your seat for the networking event. Ref 268.,Events
269,Join the webinar scheduled for tomorrow afternoon. Ref 269.,Events
270,Reserve your seat for the networking event. Ref 270.,Events
271,Review the pull request and leave comments. Ref 271.,Work
272,Let's plan dinner this weekend. Ref 272.,Personal
273,Review the pull request and leave comments. Ref 273.,Work
274,Important update: all employees must update their passwords from next week onward. Ref 274.,Important Notices
275,Please note that a security patch has been deployed until further notice. Ref 275.,Important Notices
276,Tell me how your day went. Ref 276.,Personal
277,Reminder: a new security policy has been implemented from next week onward. Ref 277.,Important Notices
278,Sign up for the hackathon event. Ref 278.,Events
279,Announcement: a new security policy has been implemented during the scheduled update. Ref 279.,Important Notices
280,Attention: all employees must update their passwords until further notice. Ref 280.,Important Notices
281,Check the server logs and report any anomalies. Ref 281.,Work
282,"For your information, the office will remain closed tomorrow during the scheduled update. Ref 282.",Important Notices
283,Confirm your attendance for the seminar. Ref 283.,Events
284,Kindly be informed that a security patch has been deployed during the maintenance window. Ref 284.,Important Notices
285,Let's plan dinner this weekend. Ref 285.,Personal
286,Text me when you arrive. Ref 286.,Personal
287,Complete the sprint tasks before tomorrow's standup. Ref 287.,Work
288,Text me when you arrive. Ref 288.,Personal
289,Submit the event participation form before the deadline. Ref 289.,Events
290,"Hey, call me when you get home. Ref 290.",Personal
291,Notice: mandatory compliance training must be completed until systems are fully restored. Ref 291.,Important Notices
292,Let's catch up over coffee soon. Ref 292.,Personal
293,Complete the registration form for the training session. Ref 293.,Events
294,Update the documentation for the new API endpoints. Ref 294.,Work
295,Submit the event participation form before the deadline. Ref 295.,Events
296,RSVP for the annual company meetup. Ref 296.,Events
297,Let's plan dinner this weekend. Ref 297.,Personal
298,Join the webinar scheduled for tomorrow afternoon. Ref 298.,Events
299,Notice: system access rules have changed for security reasons. Ref 299.,Important Notices
300,Register for the upcoming workshop using the registration link. Ref 300.,Events
301,"Hey, call me when you get home. Ref 301.",Personal
302,Update: email services may experience temporary delays during the scheduled update. Ref 302.,Important Notices
303,Update the task status in the project tracker. Ref 303.,Work
304,"For your information, system access rules have changed during the scheduled update. Ref 304.",Important Notices
305,Let's plan dinner this weekend. Ref 305.,Personal
306,Send me the photos from yesterday. Ref 306.,Personal
307,Let me know when you're free to talk. Ref 307.,Personal
308,Update the documentation for the new API endpoints. Ref 308.,Work
309,Investigate the production issue reported this morning. Ref 309.,Work
310,Please review the project report before the deadline. Ref 310.,Work
311,Don't forget to bring groceries. Ref 311.,Personal
312,Coordinate with the design team about the UI updates. Ref 312.,Work
313,We should watch that movie together. Ref 313.,Personal
314,Attention: server downtime may occur during the upgrade window effective immediately. Ref 314.,Important Notices
315,Register to attend the upcoming conference. Ref 315.,Events
316,Let's catch up over coffee soon. Ref 316.,Personal
317,Join the webinar scheduled for tomorrow afternoon. Ref 317.,Events
318,Please review the project report before the deadline. Ref 318.,Work
319,Confirm your attendance for the seminar. Ref 319.,Events
320,Complete the registration form for the training session. Ref 320.,Events
321,Tell me how your day went. Ref 321.,Personal
322,Let me know when you're free to talk. Ref 322.,Personal
323,"Hey, call me when you get home. Ref 323.",Personal
324,Heads up: the system will undergo scheduled maintenance tonight starting tonight. Ref 324.,Important Notices
325,Tell me how your day went. Ref 325.,Personal
326,Attention: a new security policy has been implemented during the maintenance window. Ref 326.,Important Notices
327,Reminder: the office will remain closed tomorrow during the scheduled update. Ref 327.,Important Notices
328,Complete the sprint tasks before tomorrow's standup. Ref 328.,Work
329,Reminder: mandatory compliance training must be completed during the maintenance window. Ref 329.,Important Notices
330,Coordinate with the design team about the UI updates. Ref 330.,Work
331,Check the server logs and report any anomalies. Ref 331.,Work
332,Announcement: a new security policy has been implemented during the maintenance window. Ref 332.,Important Notices
333,Tell me how your day went. Ref 333.,Personal
334,We should watch that movie together. Ref 334.,Personal
335,Please fill the Google form for event registration. Ref 335.,Events
336,Important update: all employees must update their passwords during the maintenance window. Ref 336.,Important Notices
337,Notice: the system will undergo scheduled maintenance tonight as per the latest policy update. Ref 337.,Important Notices
338,Let's catch up over coffee soon. Ref 338.,Personal
339,Check the server logs and report any anomalies. Ref 339.,Work
340,Finalize the sprint backlog for the upcoming release. Ref 340.,Work
341,Let's catch up over coffee soon. Ref 341.,Personal
342,Please review the project report before the deadline. Ref 342.,Work
343,Let's catch up over coffee soon. Ref 343.,Personal
344,Reminder: server downtime may occur during the upgrade window effective immediately. Ref 344.,Important Notices
345,Text me when you arrive. Ref 345.,Personal
346,Send me the photos from yesterday. Ref 346.,Personal
347,Please note that a new security policy has been implemented for security reasons. Ref 347.,Important Notices
348,Complete the registration form for the training session. Ref 348.,Events
349,Kindly be informed that server downtime may occur during the upgrade window starting tonight. Ref 349.,Important Notices
350,Coordinate with the design team about the UI updates. Ref 350.,Work
351,Complete the sprint tasks before tomorrow's standup. Ref 351.,Work
352,Attention: a security patch has been deployed during the maintenance window. Ref 352.,Important Notices
353,Reminder: a new security policy has been implemented for security reasons. Ref 353.,Important Notices
354,Please review the project report before the deadline. Ref 354.,Work
355,Announcement: network services may be temporarily unavailable until systems are fully restored. Ref 355.,Important Notices
356,Announcement: network services may be temporarily unavailable until the upgrade is completed. Ref 356.,Important Notices
357,Please note that mandatory compliance training must be completed during the maintenance window. Ref 357.,Important Notices
358,Please note that mandatory compliance training must be completed starting tonight. Ref 358.,Important Notices
359,Attention: the system will undergo scheduled maintenance tonight from next week onward. Ref 359.,Important Notices
360,Let's plan dinner this weekend. Ref 360.,Personal
361,Complete the registration form for the training session. Ref 361.,Events
362,Complete the registration form for the training session. Ref 362.,Events
363,Coordinate with the design team about the UI updates. Ref 363.,Work
364,Sign up for the hackathon event. Ref 364.,Events
365,Register for the upcoming workshop using the registration link. Ref 365.,Events
366,Please review the project report before the deadline. Ref 366.,Work
367,Let's plan dinner this weekend. Ref 367.,Personal
368,Update: mandatory compliance training must be completed from next week onward. Ref 368.,Important Notices
369,Update: all employees must update their passwords during the scheduled update. Ref 369.,Important Notices
370,"Hey, call me when you get home. Ref 370.",Personal
371,RSVP for the annual company meetup. Ref 371.,Events
372,Text me when you arrive. Ref 372.,Personal
373,Confirm your attendance for the seminar. Ref 373.,Events
374,Submit the event participation form before the deadline. Ref 374.,Events
375,Investigate the production issue reported this morning. Ref 375.,Work
376,Let's catch up over coffee soon. Ref 376.,Personal
377,Don't forget to bring groceries. Ref 377.,Personal
378,Attention: the system will undergo scheduled maintenance tonight during the scheduled update. Ref 378.,Important Notices
379,RSVP for the annual company meetup. Ref 379.,Events
380,Attention: server downtime may occur during the upgrade window from next week onward. Ref 380.,Important Notices
381,Check the server logs and report any anomalies. Ref 381.,Work
382,Review the pull request and leave comments. Ref 382.,Work
383,Update: all employees must update their passwords during the maintenance window. Ref 383.,Important Notices
384,Let's catch up over coffee soon. Ref 384.,Personal
385,Important update: the office will remain closed tomorrow until systems are fully restored. Ref 385.,Important Notices
386,Coordinate with the design team about the UI updates. Ref 386.,Work
387,Sign up for the hackathon event. Ref 387.,Events
388,Complete the registration form for the training session. Ref 388.,Events
389,Sign up for the hackathon event. Ref 389.,Events
390,Tell me how your day went. Ref 390.,Personal
391,Send me the photos from yesterday. Ref 391.,Personal
392,Don't forget to bring groceries. Ref 392.,Personal
393,We should watch that movie together. Ref 393.,Personal
394,Text me when you arrive. Ref 394.,Personal
395,Review the pull request and leave comments. Ref 395.,Work
396,Join the webinar scheduled for tomorrow afternoon. Ref 396.,Events
397,Let's plan dinner this weekend. Ref 397.,Personal
398,Please note that server downtime may occur during the upgrade window starting tonight. Ref 398.,Important Notices
399,Announcement: system access rules have changed until the upgrade is completed. Ref 399.,Important Notices
400,Coordinate with the design team about the UI updates. Ref 400.,Work
401,Let's plan dinner this weekend. Ref 401.,Personal
402,Check the server logs and report any anomalies. Ref 402.,Work
403,Let's plan dinner this weekend. Ref 403.,Personal
404,Register to attend the upcoming conference. Ref 404.,Events
405,Tell me how your day went. Ref 405.,Personal
406,Register for the upcoming workshop using the registration link. Ref 406.,Events
407,Finalize the sprint backlog for the upcoming release. Ref 407.,Work
408,Join the webinar scheduled for tomorrow afternoon. Ref 408.,Events
409,Complete the sprint tasks before tomorrow's standup. Ref 409.,Work
410,RSVP for the annual company meetup. Ref 410.,Events
411,Check the server logs and report any anomalies. Ref 411.,Work
412,Register for the upcoming workshop using the registration link. Ref 412.,Events
413,"Hey, call me when you get home. Ref 413.",Personal
414,Reserve your seat for the networking event. Ref 414.,Events
415,RSVP for the annual company meetup. Ref 415.,Events
416,Please fill the Google form for event registration. Ref 416.,Events
417,"Hey, call me when you get home. Ref 417.",Personal
418,"For your information, system access rules have changed effective immediately. Ref 418.",Important Notices
419,Attention: mandatory compliance training must be completed until systems are fully restored. Ref 419.,Important Notices
420,Let me know when you're free to talk. Ref 420.,Personal
421,Prepare the presentation for the client meeting. Ref 421.,Work
422,Heads up: mandatory compliance training must be completed from next week onward. Ref 422.,Important Notices
423,Reserve your seat for the networking event. Ref 423.,Events
424,Coordinate with the design team about the UI updates. Ref 424.,Work
425,Reserve your seat for the networking event. Ref 425.,Events
426,Please note that network services may be temporarily unavailable during the maintenance window. Ref 426.,Important Notices
427,Notice: the office will remain closed tomorrow starting tonight. Ref 427.,Important Notices
428,Kindly be informed that mandatory compliance training must be completed effective immediately. Ref 428.,Important Notices
429,Review the pull request and leave comments. Ref 429.,Work
430,Confirm your attendance for the seminar. Ref 430.,Events
431,Send me the photos from yesterday. Ref 431.,Personal
432,Please review the project report before the deadline. Ref 432.,Work
433,Let's catch up over coffee soon. Ref 433.,Personal
434,Finalize the sprint backlog for the upcoming release. Ref 434.,Work
435,Register to attend the upcoming conference. Ref 435.,Events
436,Send me the photos from yesterday. Ref 436.,Personal
437,Sign up for the hackathon event. Ref 437.,Events
438,Let me know when you're free to talk. Ref 438.,Personal
439,Let's plan dinner this weekend. Ref 439.,Personal
440,Review the pull request and leave comments. Ref 440.,Work
441,Announcement: a new security policy has been implemented until further notice. Ref 441.,Important Notices
442,Update the documentation for the new API endpoints. Ref 442.,Work
443,Register for the upcoming workshop using the registration link. Ref 443.,Events
444,Attention: email services may experience temporary delays until further notice. Ref 444.,Important Notices
445,Hope you had a good day today. Ref 445.,Personal
446,Important update: the office will remain closed tomorrow during the scheduled update. Ref 446.,Important Notices
447,Hope you had a good day today. Ref 447.,Personal
448,"Hey, call me when you get home. Ref 448.",Personal
449,"For your information, all employees must update their passwords for security reasons. Ref 449.",Important Notices
450,Please fill the Google form for event registration. Ref 450.,Events
451,Don't forget to bring groceries. Ref 451.,Personal
452,"Hey, call me when you get home. Ref 452.",Personal
453,Complete the sprint tasks before tomorrow's standup. Ref 453.,Work
454,Review the pull request and leave comments. Ref 454.,Work
455,"For your information, a new security policy has been implemented for security reasons. Ref 455.",Important Notices
456,Submit the event participation form before the deadline. Ref 456.,Events
457,Let's catch up over coffee soon. Ref 457.,Personal
458,Reminder: system access rules have changed until systems are fully restored. Ref 458.,Important Notices
459,Kindly be informed that the system will undergo scheduled maintenance tonight starting tonight. Ref 459.,Important Notices
460,Update: the office will remain closed tomorrow during the scheduled update. Ref 460.,Important Notices
461,Kindly be informed that system access rules have changed for security reasons. Ref 461.,Important Notices
462,Update the task status in the project tracker. Ref 462.,Work
463,Text me when you arrive. Ref 463.,Personal
464,Reminder: server downtime may occur during the upgrade window during the scheduled update. Ref 464.,Important Notices
465,Please review the project report before the deadline. Ref 465.,Work
466,Let's plan dinner this weekend. Ref 466.,Personal
467,Register to attend the upcoming conference. Ref 467.,Events
468,Please review the project report before the deadline. Ref 468.,Work
469,Kindly be informed that the system will undergo scheduled maintenance tonight effective immediately. Ref 469.,Important Notices
470,Check the server logs and report any anomalies. Ref 470.,Work
471,Tell me how your day went. Ref 471.,Personal
472,RSVP for the annual company meetup. Ref 472.,Events
473,Let's plan dinner this weekend. Ref 473.,Personal
474,Submit the event participation form before the deadline. Ref 474.,Events
475,RSVP for the annual company meetup. Ref 475.,Events
476,Submit the event participation form before the deadline. Ref 476.,Events
477,Confirm your attendance for the seminar. Ref 477.,Events
478,We should watch that movie together. Ref 478.,Personal
479,Announcement: email services may experience temporary delays from next week onward. Ref 479.,Important Notices
480,Text me when you arrive. Ref 480.,Personal
481,Register for the upcoming workshop using the registration link. Ref 481.,Events
482,Send me the photos from yesterday. Ref 482.,Personal
483,Kindly be informed that a new security policy has been implemented until the upgrade is completed. Ref 483.,Important Notices
